,place_name,review_text,review_rating
12,Vietinbank Sở Giao Dịch Cửa Nam,"Ấn tượng đầu tiên về công ty thám tử Hà Nội này là đội ngũ quản lý của họ tuy còn khá trẻ nhưng kinh nghiệm phán đoán sự việc của tôi rất chuẩn xác, tôi hoàn toàn yên tâm khi giao việc cho họ.",5
13,Vietinbank Sở Giao Dịch Cửa Nam,"Văn phòng thám tử Hà nội này làm việc rất tốt, tôi có thuê tìm kiếm con nợ bỏ trốn và kiểm tra nhân viên 2 lần, rất hài lòng với phong cách làm việc sáng tạo của họ.",5
14,Vietinbank - Chi nhánh Chương Dương,,5
15,Vietinbank - Chi nhánh Chương Dương,,1
16,Ngân Hàng TMCP Công Thương Việt Nam (VietinBank),,4
17,Ngân Hàng Công Thương Việt Nam (Vietinbank) - Pgd Số 99,"Dịch vụ nhanh, đôi khi vẫn làm ko hài lòng lắm",4
18,Ngân Hàng Công Thương Việt Nam (Vietinbank) - Pgd Số 99,Ngân hàng rất rộng và có đầy đủ dịch vụ về tài chính và có cả cấy ATM,5
19,Ngân Hàng Công Thương Việt Nam (Vietinbank) - Pgd Số 99,Làm ko ra gì,1
20,Ngân Hàng Công Thương Việt Nam (Vietinbank) - Pgd Số 99,Dịch vụ tốt,4
21,Ngân Hàng Công Thương Việt Nam (Vietinbank) - Pgd Số 99,ngan hang vietink,5
22,Vietinbank CN Tây Sài Gòn,"Ngân hàng quá tệ. Chất lượng dịch vụ không ra làm sao, giải quyết vấn đề khách hàng quá lâu.",2
23,Vietinbank CN Tây Sài Gòn,"Dịch vụ nhanh chóng, ưu việt, tận tâm. Đem đến giá trị tốt nhất cho Quý Khách Hàng",5
24,Vietinbank CN Tây Sài Gòn,"Rộng rãi thoáng mát, cũng có khá nhiều quầy giao dịch",4
25,Vietinbank CN Tây Sài Gòn,Nhân viên làm việc không chuyên nghiệp. Ngân hàng giả quyết vấn đề quá lâu. Giao dịch phải chờ đợi rất lâu.,1
26,Vietinbank CN Tây Sài Gòn,Sai vị trí,1
27,VietinBank - Chi Nhánh Chợ Lớn,"Chi nhánh này của VietinBank nhân viên rất ân cần chu đáo, văn minh lịch sự.
Hướng dẫn khách hàng rất dễ thương.
Bien lai hẹn trả thẻ ATM rất đúng ngày.",5
28,VietinBank - Chi Nhánh Chợ Lớn,Thái độ Nhân viên quá tệ,1
29,VietinBank - Chi Nhánh Chợ Lớn,"Tôi muốn liên hệ ngân hàng hỏi thăm về dịch vụ ""Bao Thanh Toán"" tôi phải liên hệ bộ phận nào ?số Điện thoại ?",5
30,VietinBank - Chi Nhánh Chợ Lớn,Nhãn Viên Tận Tình coi khách Hàng như Người Thân của mình !,1
31,VietinBank - Chi Nhánh Chợ Lớn,Làm việc cực kỳ chậm!,1
32,Vietinbank PGD Chợ Tân Bình,Rất hài lòng về tất cả nhân viên ngân hàng ở đây. Cư xử đúng kiểu khách hàng là thượng đế và hỗ trợ hết mình tận tình,5
33,Vietinbank PGD Chợ Tân Bình,Nhân viên bảo vệ ở đây thiếu tế nhị xịt côn khử khuẩn vào mặt khách hàng cần làm việc với các bảo vệ,1
34,Vietinbank PGD Chợ Tân Bình,"Ăn toàn , cẩn thận , lịch sự .",4
35,Vietinbank PGD Chợ Tân Bình,Nơi thuận lợi. Có máy ATM.,4
36,Vietinbank PGD Chợ Tân Bình,Được rồi,5
37,VietinBank CN Gia Định,"Thoáng mát, sạch sẽ, có bãi đậu xe hơi, nhân viên cũng ổn nhưng với mình thì chưa nhiệt tình bằng những chi nhánh khác mình đã từng giao dịch.",4
38,VietinBank CN Gia Định,"Cơ sở vật chất mới,đẹp.Nhân viên hướng dẫn nhiệt tình,vui vẻ và chuyên nghiệp.",5
39,VietinBank CN Gia Định,"Cơ sở đẹp, thông thoáng, đội ngũ nhân viên tận tâm, vui vẻ, trẻ trung, giỏi nghề!",5
40,VietinBank CN Gia Định,"Trải nghiệm giao dịch tốt, nhanh nhẹn, nhiệt tình. Cơ sở vật chất mới, sang trọng",5
41,VietinBank CN Gia Định,Nhân viên xử lý nhanh nhẹn. Tôi sẽ đến đây giao dịch thường xuyên,5
42,Vietinbank,"Làm việc ngu, cccd gắn chíp làm cả năm chưa có mà người ta có giấy cũ không làm, nghỉ mẹ đi chứ làm ngân hàng chi lạ vậy",1
43,Vietinbank,Nhân viên rất nhiệt tình và vui vẻ hỗ trợ khách hàng.,5
44,Vietinbank,Nhân viên cố tình làm khó khách hàng. Thái độ rất tệ,1
45,Vietinbank,Nhân viên tự tiện cầm điện thoại và thẻ của khách để đăng kia các dịch vụ ví điện tử nhằm trục lợi và ăn cắp tiền,1
46,Vietinbank,"Làm việc ko tốt, cố tình làm khó khách hàng,",1
47,Vietin Bank- Pgd Nguyễn Văn Trỗi,"Làm việc nhiệt tình, lịch sự, nhanh gọn",5
48,Vietin Bank- Pgd Nguyễn Văn Trỗi,Thái độ làm việc tốt!,4
49,Vietin Bank- Pgd Nguyễn Văn Trỗi,,4
50,Vietin Bank- Pgd Nguyễn Văn Trỗi,,5
51,Vietinbank Lưu Xá,"Nhân viên của chi nhánh lưu xá làm việc rất lề mề. Chậm chạp và khi giao dịch họ toàn yêu cầu khách hàng ký trước vào mẫu giấy trống mà chưa in điền số liệu, thông tin. Họ nói muốn nhanh thì phải vậy.... Trong khi truyền thông đang loan báo rất nhiều người mất tiền trong TK tiết kiệm vì ký vào giấy trống. Vậy mà nhân viên một ngân hàng lớn toàn làm việc với cung cách như vậy?!?!?!?!!?!?!??????",1
52,Vietinbank Lưu Xá,Ngân hàng Công Thương Lưu Xá,5
53,Vietinbank Lưu Xá,Kém,1
54,Vietinbank Lưu Xá,Tốt,5
55,Vietinbank Lưu Xá,Đẹp,4
56,Ngân hàng TMCP Công Thương Việt Nam VietinBank - Chi nhánh Sông Công,"Thái độ nhân viên ngân hàng khiến mình rất có ác cảm, cầm hồ sơ giấy tờ gọi điện không nghe máy, hẹn trả hồ sơ giấy tờ thất hẹn nỡ mất bao nhiêu việc, bao nhiêu thời gian
Mình cũng phải đi làm, giờ mất cả ngày trời nhân viên không gì cả, đi đi đi lại
Cách làm việc thế đấy",1
57,Ngân hàng TMCP Công Thương Việt Nam VietinBank - Chi nhánh Sông Công,Giao dịch nhanh,5
58,Ngân hàng TMCP Công Thương Việt Nam VietinBank - Chi nhánh Sông Công,Nhân viên làm việc nhiệt tình chăm sóc khách hàng tốt,5
59,Ngân hàng TMCP Công Thương Việt Nam VietinBank - Chi nhánh Sông Công,Điểm giao dịch tiền tệ.,4
60,Ngân hàng TMCP Công Thương Việt Nam VietinBank - Chi nhánh Sông Công,Phục vụ tốt,5
61,Ngân Hàng TMCP Công Thương Việt Nam (Vietinbank),Chất lượng k tốt,1
62,Ngân Hàng TMCP Công Thương Việt Nam (Vietinbank),khách đông nhân viên thân thiện,4
63,Ngân Hàng TMCP Công Thương Việt Nam (Vietinbank),Ngân hang uy tín thân thiện,4
64,Ngân Hàng TMCP Công Thương Việt Nam (Vietinbank),Uy tín,4
65,Ngân Hàng TMCP Công Thương Việt Nam (Vietinbank),Được rồi,4
66,Vietinbank Chi nhánh Kiến An,"Đã giao dịch ở chỉ nhánh này vài lần thấy ổn. Nhân viên nhiệt tình , thủ tục nhanh chóng. Nhưng thỉnh thoảng hơi đông, phí chuyển liên ngân hàng cũng hơi đắt xíu . Mình chuyển tiền vào tk ngân hàng Vietcombank mất 33k phí thì phải.",5
67,Vietinbank Chi nhánh Kiến An,Vào chuyển tiền 1 lần,5
68,Vietinbank Chi nhánh Kiến An,"Cả kiến an có 2 cây atm viettin bank nhưng toàn hết tiền từ chiều thứ 6 đến trưa thứ 2 tuần sau. Nhiều lúc nản , toàn vác thẻ viettinbank đi rút nhờ cây ngân hàng khác",1
69,Vietinbank Chi nhánh Kiến An,Lối ra vào tiện lợi có chỗ gửi xe và lối lên xuống cho người tàn tật . Thái độ phục vụ của nhân viên tốt tuy rằng thủ tục rườm rà và đôi khi hơi chậm. Chưa có bàn và nhân viên đón tiếp và hướng dẫn nên những người mới đến làm thủ tục sẽ gặp nhiều khó khăn . Ngay cổng vào có 2 cây ATM để giao dịch nên cũng nhanh hơn khi chỉ có 1 cây . Địa điểm gần công an Phường và công an Quận nên an ninh trật tự tốt,4
70,Vietinbank Chi nhánh Kiến An,"chuyên nghiệp, mặc dù đông khách nhưng nhân viên làm khá nhanh, nghiêm túc",5
71,VietinBank Mê Linh,chất lượng đang xem xét,3
72,Vietinbank Hải Phòng,"Ngân hàng Vietinbank nằm tại ngã tư Trần Phú và Điện Biên Phủ, đây được coi là vị trí đắc địa của Hải Phòng.
Nơi đây trước kia là toà nhà được xây theo kiến trúc Pháp, mới được trùng tư lại vẻ bề ngoài.
Điều mình ấn tượng nhất chính là cánh cổng dẫn vào bên trong có biểu tượng $ rất lớn.
Về dịch vụ thì mình thấy nơi đây khá là oki, có cây ATM nhỏ nằm sườn toà nhà.
8/10",5
73,Vietinbank Hải Phòng,"Xin lỗi vì đã rate 1* cho VTB CN Hải Phòng tại 36 Điện Biên Phủ.
Vì đúng là phải là âm * hoặc không *. Giao dịch viên và kiểm soát viên ở tầng 1 quá tệ, đùn đẩy nhau, thái độ với khách hàng, ko thích làm nên cố tình để khách hàng chờ lâu - ko giao dịch được nên bỏ cuộc.
Cảm nhận sau khi trải nghiệm giao dịch tại đây là hệ thống nhân sự giao dịch già, chậm, lười, đùn đẩy, làm cho xong đợi nghỉ hưu.",1
74,Vietinbank Hải Phòng,"Chất lượng nv ngân hàng ngày 1 đi xuống,làm việc lâu nhiều sai sót giấy tờ và sử giấy tờ vô cùng lâu",1
75,Vietinbank Hải Phòng,mình có số tài khoản 103868302230 của ngân hàng mình có một số vấn đề nho nhỏ mình hỏi trực tiếp ngân hàng hay mình sang đức mình hỏi ngân hàng bên đó mình thì không có xe chứng minh thì nhoè sợ hỏi ở việt nam nó khó thế bây giờ mình phải làm như nào nhỉ.,5
76,Vietinbank Hải Phòng,"Thái độ nhân viên trong quầy rất tệ, khó chịu khi khách hàng cần hỗ trợ. Bác bảo vệ thân thiện, nhiệt tình",1
77,VietinBank - Chi Nhánh Bình Dương,"Muốn nạp tiền vào cây ATM mà k có. Rất tệ
Chuyển qua ngân hàng khác thuận tiện hơn",1
78,VietinBank - Chi Nhánh Bình Dương,"VietinBank là ngân hàng có liên quan trực tiếp đến vụ án Huỳnh Thị Huyền Như là nhân viên của ngân hàng này, đã lừa đảo khoảng 4000 tỷ đồng.",4
79,VietinBank - Chi Nhánh Bình Dương,"Phục vụ nhanh chóng, nhân viên nhiệt tình",5
80,VietinBank - Chi Nhánh Bình Dương,"Có mỗi cây CDM để khách hàng bỏ tiền vào tài khoản, giao dịch khi ngân hàng đóng cửa thì lại đi cất bên trong ngân hàng, ngân hàng nghỉ, đóng cửa thì coi như cây CDM đó có cũng như không. Thất vọng toàn tập",2
81,VietinBank - Chi Nhánh Bình Dương,"Ngân hàng tốt, nhiều ưu đãi cho khách hàng",4
82,Vietinbank Cần Thơ,"Có bãi xe 2 bánh và có bảo vệ.
Vị trí trung tâm thuận tiện giao dịch.
Bốc số tt đợi hơi lâu: tình hình chung.",5
83,Vietinbank Cần Thơ,Chờ lâu ; nhiều quầy mà không tiếp khách nhiều ; họ luôn làm việc nội bộ ! Chờ 1 tiếng ruõi thấy giải quyết có 3 khách ! Mình còn 4 số nữa đành bỏ về ! Cách làm việc quan liêu ; không phân loại tệ như thời nao cấp ! Không hiểu người quản lí có nhìn thấy không? Đề nghị thay đổi nhanh !,1
84,Vietinbank Cần Thơ,Phục vụ nhanh. Nhân viên vui vẻ,5
85,Vietinbank Cần Thơ,Làm việc quá tệ. Dịch vụ kém linh hoạt. Chỉ nhận thẻ ngân hàng nhưng bắt buộc phải đợi đúng quầy setup giấy hẹn. Đợi gần 2 tiếng vẫn ko lấy được thẻ. Tác phong này sớm muộn cũng thất bại. Càng ngày càng rời xa top ngân hàng của VN!,1
86,Vietinbank Cần Thơ,VietnBank là một trong những ngân hàng lớn và uy tính tại Tp Cần Thơ.,4
87,Ngân Hàng Công Thương Việt Nam,Tốt,5
88,Ngân Hàng Công Thương Việt Nam,,5
89,VietinBank Bến Tre,"Ghi mở cửa ngày thứ bảy làm gì cho mình mất thì giờ đi từ Sài Gòn về bến tre.Làm ơn chỉnh sửa thời gian làm việc chính xác trên website đa`ng hoàn lại.
Cám ơn.",1
90,VietinBank Bến Tre,"Nằm ở vị trí tuyệt đẹp của thành phố. Viettinbank được xây dựng và hoạt động thời gian gần đây, góp phần vào sự thay đổi và phát triển của thành phố Bến Tre.",4
91,VietinBank Bến Tre,"To bự lắm, ngay mặt tiền.
Nhân viên vui vẻ.",4
92,VietinBank Bến Tre,"Thứ 7 không có làm việc thì đừng để giờ làm từ 7h-11h
Mất thời gian người khác đi tới rồi chạy về",1
93,VietinBank Bến Tre,Nhân viên chăm sóc khách hàng tốt,4
94,Vietinbank Bình Định,"Vào đây không thiếu tiền đâu nha các bạn. Mấy bạn giao dịch viên toàn trẻ tuổi mà xinh nữa. Tuy nhiên ngoài một số bạn rất vui vẻ thân thiện thì cũng có 1-2 bạn hơi khó chịu, mình gặp vài lần mấy cô chú lớn tuổi vào gửi tiền khi viết phiếu không biết hỏi thì mấy bạn thái độ lắm. Tuy nhiên chỉ là 1 vài con sâu nhỏ thôi. Chốt lại vẫn 5⭐️

Vào đây không thiếu tiền đâu nha các bạn. Mấy bạn giao dịch viên toàn trẻ tuổi mà xinh nữa. Tuy nhiên ngoài một số bạn rất vui vẻ thân thiện thì cũng có 1-2 bạn hơi khó chịu, mình gặp vài lần mấy cô chú lớn tuổi vào gửi tiền khi viết phiếu không biết hỏi thì mấy bạn thái độ lắm. Tuy nhiên chỉ là 1 vài con sâu nhỏ thôi. Chốt lại vẫn 5⭐️",5
95,Vietinbank Bình Định,Nằm ngay trên con đường của các ngân hàng. Uy tín,5
96,Vietinbank Bình Định,"Đi rút tiền thì chạy khắp Quy Nhơn
Thấy ATM này càng thốn hơn",2
97,Vietinbank Bình Định,Giao dịch nhanh,3
98,Vietinbank Bình Định,"Nơi gửi tiền đáng tin cậy, uy tín, nhanh gọn.",5
99,Ngân hàng TMCP Kỹ thương Việt Nam (Techcombank)- Chi nhánh Thắng Lợi - PGD Bùi Thị Xuân,"Rất tệ, giao dịch viên nói chuyện qua điện thoại và gọi khách hàng nhỏ tuổi hơn là "" thằng nhóc "" ???? Chửi tục khi đang có khách giao dịch trực tiếp 🙂. Trải nghiệm rất rất tệ",1
100,Ngân hàng TMCP Kỹ thương Việt Nam (Techcombank)- Chi nhánh Thắng Lợi - PGD Bùi Thị Xuân,Nhân viên làm việc quá tệ. Ngân hàng lớn như thế này mà 1 đám nhân viên ko có tí nghiệp vụ. Thảo nào bao nhiêu người bị mất tiền tk. Có mỗi cái hs đóng tk ngân hàng của ng đã mất mà 1 lũ làm ko xong. Ngu dốt qá thì nghỉ mẹ đi. Đừng đi làm ngân hàng nữa,1
101,Ngân hàng TMCP Kỹ thương Việt Nam (Techcombank)- Chi nhánh Thắng Lợi - PGD Bùi Thị Xuân,Giao dịch ở đây đợi rất lâu nha quý vị. Ra chi nhánh khác cho nhanh,1
102,Ngân hàng TMCP Kỹ thương Việt Nam (Techcombank)- Chi nhánh Thắng Lợi - PGD Bùi Thị Xuân,"Dịch vụ rất tệ ở chi nhánh bùi thị xuân. Đề nghị quản lý chi nhánh xem xét lại nhân viên ở quầy số 2 (ngày 18/05/2022). Mình chỉ hỏi 1 app techcom trên 1 dt có thể sd 2 tk không vì mình và bạn mình đều xài techcom, không ngờ nhân viên thái độ quát nạt và nói không thể mở tk cho bạn mình. Mặt tỏ ra miệt thị rõ ràng, không tôn trọng khách hàng. Techcom dịch vụ đối xử với khách ngày càng tệ..",1
103,Ngân hàng TMCP Kỹ thương Việt Nam (Techcombank)- Chi nhánh Thắng Lợi - PGD Bùi Thị Xuân,"Nhân viên thường xuyên thiếu , làm việc quá chậm 2 quầy nộp tiền có 3 số cách nhau đợi 1 tiếng đồng hồ chưa xong",1
104,Ngân hàng TMCP Kỹ thương Việt Nam - Chi nhánh Hà Thành - Phòng giao dịch Tràng An,"Chi nhánh to, sạch sẽ, hiện đại. Nhân viên cực chuyên nghiệp và thân thiện",5
105,Ngân hàng TMCP Kỹ thương Việt Nam - Chi nhánh Hà Thành - Phòng giao dịch Tràng An,"Có ATM tiện lợi, tác phong làm việc nhanh thân thiện",5
106,Ngân hàng TMCP Kỹ thương Việt Nam - Chi nhánh Hà Thành - Phòng giao dịch Tràng An,Nhan vien nhiet tinh vui ve toi rat thich giao dich ngan hang nay,5
107,Ngân hàng TMCP Kỹ thương Việt Nam - Chi nhánh Hà Thành - Phòng giao dịch Tràng An,"Tiện tích cho mọi người dân, phong thái làm việc hơi chậm chạp",3
108,Ngân hàng TMCP Kỹ thương Việt Nam - Chi nhánh Hà Thành - Phòng giao dịch Tràng An,Cần qua rút tiền mà chẳng thấy ATM đâu,2
109,Ngân hàng TMCP Kỹ thương Việt Nam (Techcombank)- Chi nhánh Gia Định - PGD Cantavil An Phú,"Techcombank Bạch đằng, rất nắng vào buổi chiều.

Nhân viên nghiệp vụ tốt, xử lý nhanh.

Chất lượng dịch vụ ổn.",4
110,Ngân hàng TMCP Kỹ thương Việt Nam (Techcombank)- Chi nhánh Gia Định - PGD Cantavil An Phú,Nhân viên lịch sử xử lý yêu cầu nhanh chóng và chu đáo khi hướng dẫn.,5
111,Ngân hàng TMCP Kỹ thương Việt Nam (Techcombank)- Chi nhánh Gia Định - PGD Cantavil An Phú,"Chưa có nhiều sản phẩm mới, giải quyết gần đây nhanh hơn, mấy tháng trước còn chờ đợi lâu",4
112,Ngân hàng TMCP Kỹ thương Việt Nam (Techcombank)- Chi nhánh Gia Định - PGD Cantavil An Phú,Làm xuyên trưa. Nhân viên nhiệt tình,4
113,Ngân hàng TMCP Kỹ thương Việt Nam (Techcombank)- Chi nhánh Gia Định - PGD Cantavil An Phú,Dời chi nhánh mà không huỷ trên google,1
114,Ngân hàng TMCP Kỹ thương Việt Nam (Techcombank)- Chi nhánh Thắng Lợi - PGD Cao Thắng,"Ngân hàng gì mà giao dịch lâu thật là lâu, 4 nhân viên mà có 2 nv giao dịch. Không có máy bốc số, gọi số bằng miệng. Vào đây lấy số xong đợi 30 phút cũng chưa thấy gọi. Dịch vụ thì quá tệ. Chán toàn tập.",2
115,Ngân hàng TMCP Kỹ thương Việt Nam (Techcombank)- Chi nhánh Thắng Lợi - PGD Cao Thắng,Dạ vâng ạ. Em vào dc 30 phút rồi. Xử lý được 2 lượt khách và người đứng người ngồi. Nhân viên tiếp thì mặt như thịt bằm nấu cháo. Đến chán,1
116,Ngân hàng TMCP Kỹ thương Việt Nam (Techcombank)- Chi nhánh Thắng Lợi - PGD Cao Thắng,"Nhân viên thao tác rất chậm, không rành nghiệp vụ. Chỉ yêu cầu xác nhận số dư thôi mà 3 4 người túm tụm lại để trao đổi. Hướng dẫn không rõ ràng. Một hồ sơ thôi mà nói ra 2 3 lời.",1
117,Ngân hàng TMCP Kỹ thương Việt Nam (Techcombank)- Chi nhánh Thắng Lợi - PGD Cao Thắng,mình nghĩ ai đó nói quá. Công nhận tệ quá sức. Mình từng ngưỡng mộ Techcombank,1
118,Ngân hàng TMCP Kỹ thương Việt Nam (Techcombank)- Chi nhánh Thắng Lợi - PGD Cao Thắng,"Dịch vụ rất tệ! Tôi làm lại CMND, nên ghé cập nhật lại thông tin này nhưng NV ngân hàng không đồng ý, lý do là CMND không hợp lệ!
CMND do Công An cấp mà bảo là không hợp lệ thì cái gì hợp lệ?",1
119,Ngân hàng Techcombank (PGD Kỳ Đồng).,"Chị tư vấn viên quầy số 6 hồi chiều giúp em mở tài khoản rất dễ thương hướng dẫn tận tình, chất lượng dịch vụ chăm sóc khách hàng 10 điểm ạ, em đau họng không có nói to được nhưng mà chị chịu khó nghe em nói lắm luôn, em đau họng mà còn nói giọng địa phương nữa vào làm sợ bị mắng như mấy chỗ kia 🥲, cảm ơn chị rất nhiều",5
120,Ngân hàng Techcombank (PGD Kỳ Đồng).,"Nhân viên không nhiệt tình hướng dẫn, không hài lòng về dịch vụ tại chi nhánh này, giao dịch lâu mất thời gian",1
121,Ngân hàng Techcombank (PGD Kỳ Đồng).,Tất toán khoản vay thi bắt tự đi xoá thế chấp,1
122,Ngân hàng Techcombank (PGD Kỳ Đồng).,Giao dịch nhanh gọn nhân viên dễ thương,5
123,Ngân hàng Techcombank (PGD Kỳ Đồng).,"nhân viên tư vấn rất nhiệt tình, giải đáp thắt mắc cận kẽ.",5
124,Ngân hàng TMCP Kỹ thương Việt Nam (Techcombank)- Chi nhánh Tân Bình,"Lúc đầu cũng ngại vì thấy những đánh giá trước, nhưng khi vào thì thấy cũng bình thường, nhân viên giao dịch nhanh, hướng dẫn nhiệt tình.",5
125,Ngân hàng TMCP Kỹ thương Việt Nam (Techcombank)- Chi nhánh Tân Bình,"Mang tiếng khu vực lầu riêng để tiếp khách VIP mà thái độ nhân viên cực kì tệ. Mới vào đang bấm máy lấy số thì bảo vệ lại và cằn nhằng sao mình không bấm máy lấy số đi mà đứng đó! Trong khi đáng lẽ có thể hỗ trợ khách bấm lấy số. Lên quầy VIP thì nhân viên giao dịch Lê Thị Thanh Vy thái độ lấc cấc, khách hàng đang hỏi mà lên tục cắt lời, nói chuyện với khách như con. Đưa thông tin sai lệch. Nhân viên cá nhân hỗ trợ khách VIP thì gọi xưng hô với khách là “bé ơi”, “gái ơi”, không còn gì để nói. Lên thấy 1 đống review 1 sao mà ngân hàng có vẻ ko quan tâm và chả thấy phản hồi.",1
126,Ngân hàng TMCP Kỹ thương Việt Nam (Techcombank)- Chi nhánh Tân Bình,"Mình cũng mở thẻ online, chồng mình ra nộp tiền bắt nộp phí >20k, ảnh bảo các quầy khác của techcom khác không hề thu phí. Em giao dịch viên khẳng định các bạn phòng giao dịch khác làm sai. Không phải bắt nộp phí thì mình không nộp nhưng thái độ nhân viên láo. Chồng mình ra teckcom Lê văn sĩ nộp. Không mất 1 đồng phí nào. Xin thưa là tài khoản mở online thì được miễn phí thu phí nộp tiền mặt khác chi nhánh. Techcombank cần đào tạo lại nhân viên của mình. Techcombank Lạc Long Quân rất dễ thương.",1
127,Ngân hàng TMCP Kỹ thương Việt Nam (Techcombank)- Chi nhánh Tân Bình,"Mở tài khoản định danh online mặc định ngoài Hà Nội. Khi ra quầy mở thẻ không được tư vấn, trong khi sinh sống tại Tp. Hcm dẫn đến giao dịch mất phí.",1
128,Ngân hàng TMCP Kỹ thương Việt Nam (Techcombank)- Chi nhánh Tân Bình,"Nhân viên giao dịch 8g10p mà còn buôn chuyện.
Mở 2 quầy làm như rùa. Đợi hoài ko gd được,  các quầy khác có người ngồi nhưng để quầy đóng.
Chẳng hiểu ông bà nào quản lý.
Kiểu như xin cho hay sao ấy.",1
129,ATM TECHCOMBANK TECHCOMBANK Minh Phụng,Đã đóng cửa sai địa chỉ,1
130,ATM TECHCOMBANK TECHCOMBANK Minh Phụng,Sai địa chỉ,1
131,Chi Nhánh Techcombank Bắc Hải,"Chú bảo vệ thì cọc cằn, không lịch sự. Nhân viên làm việc thì lề mề. Nhìn thấy vậy thôi mình ghé ngân hàng khác luôn",1
132,Chi Nhánh Techcombank Bắc Hải,"Nhân viên làm việc quá lâu. Ko chuyên nghiệp.
Khách hàng chỉ có vài người mà phải mất hơn 1 tiếng mới tới lượt giao dịch.",1
133,Chi Nhánh Techcombank Bắc Hải,"Làm việc hơi chậm, tôi thường xuyên đến gửi tiền nhưng lần nào cũng phải phải đợi rất lâu mới đến lượt.",1
134,Chi Nhánh Techcombank Bắc Hải,Đợi 1 tiếng k nộp dc tiền. Sắp xếp nhân viên quá chán,1
135,Chi Nhánh Techcombank Bắc Hải,Ok nhân viên nhiệt tình và luôn cả bảo vệ,5
136,Ngân Hàng TMCP Kỹ Thương Việt Nam (Techcombank) – Techcombank Hưng Đạo,"Cứ lo tư vấn bảo hiểm, có 5 quầy giao dịch, mà đóng hết 2 quầy, 2 quầy lo tư vấn bảo hiểm. Gửi tiền thôi mà mất cả 30 phút, chán thật!",1
137,Ngân Hàng TMCP Kỹ Thương Việt Nam (Techcombank) – Techcombank Hưng Đạo,"Bảo vệ không mở cửa, không chào khách
GDV thấy khách vào tất cả chỉ nhìn. Không chào khách. Đợi khách hỏi trả lời hời hợt
Thái độ quá kém
Cực kỳ thất vọng",1
138,Ngân Hàng TMCP Kỹ Thương Việt Nam (Techcombank) – Techcombank Hưng Đạo,Nhân viên phục vụ k tốt . Lười làm mở thẻ cho khách hàng .... yêu cầu paspo chê cmnd mờ .... nhân viên tệ thái độ kém ... nghĩ khách hàng k tiền ... hay đó giờ chư dc mở thẻ ... ngân hàng khác đâu có chê như thế,1
139,Ngân Hàng TMCP Kỹ Thương Việt Nam (Techcombank) – Techcombank Hưng Đạo,Giao dịch rất rất chậm. KH phải chờ lâu.,1
140,Ngân Hàng TMCP Kỹ Thương Việt Nam (Techcombank) – Techcombank Hưng Đạo,Nhân viên khó tính quá khôg cần thiết,1
141,Ngân hàng TMCP Kỹ thương Việt Nam (Techcombank) - Chi nhánh Phú Mỹ Hưng - Phòng giao dịch Sunrise City,"Hỗ trợ viên chị Ái rất dễ thương, chị nói chuyện nhỏ nhẹ, lịch sự và nhiệt tình.",5
